Property~Id~Id;Property~Имя~DisplayName;Property~Полное имя~FullName;Property~Классификация~ItemTypeDisplayName;Link~Прием значения из~MasterSCADA.ReadValue|False;Link~Передача значения в~MasterSCADA.ReadValue|True
2227059;В процессе открывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.В процессе открывания;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_2.OriginalState.InProcessOpen.Вход;
2227060;В процессе закрывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.В процессе закрывания;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_2.OriginalState.InProcessClose.Вход;
2227061;Автоматический режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Автоматический режим;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_2.SetAuto
2227062;Ручной режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Ручной режим;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_2.SetManual
2227063;Статус режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Статус режим;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_2.OriginalState.Auto;
2227064;Сброс;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Сброс;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_2.ResetErrors
2227065;Открыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Открыть;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_2.OpenManual
2227066;Закрыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Закрыть;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_2.CloseManual
2227067;Подтверждение уставки;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Подтверждение уставки;MasterSCADA.Attribute;;
2227068;Местный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Местный режим;MasterSCADA.Attribute;;
2227069;Дистанционный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Дистанционный режим;MasterSCADA.Attribute;;
2227070;Регулируемая_НеРегулируемая;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Регулируемая_НеРегулируемая;MasterSCADA.Attribute;;
2227071;Ключ управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Ключ управления;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_2.key;
2263618;Время ожидания ОС;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Время ожидания ОС;MasterSCADA.Attribute;;
2263763;Вход;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Блокировка.Вход;MasterSCADA.Attribute;;
2263767;Выход;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Блокировка.Выход;MasterSCADA.Attribute;;
2264995;Вход;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Включить защиту.Вход;MasterSCADA.Attribute;;
2264999;Выход;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_2.Включить защиту.Выход;MasterSCADA.Attribute;;
2227084;Название механизма;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Название механизма;MasterSCADA.Attribute;;
2227085;Текущий режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Текущий режим;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_3.AlarmCode.Вход;
2227086;Текущее положение;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Текущее положение;MasterSCADA.Attribute;;
2227087;Уставка;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Уставка;MasterSCADA.Attribute;;
2227088;Подпись при наведении;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Подпись при наведении;MasterSCADA.Attribute;;
2227089;Слово состояния;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Слово состояния;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_3.Background.Вход;
2227090;Слово положения;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Слово положения;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_3.Center.Вход;
2227091;Блокировка управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Блокировка управления;MasterSCADA.Attribute;;
2227092;В процессе открывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.В процессе открывания;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_3.OriginalState.InProcessOpen.Вход;
2227093;В процессе закрывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.В процессе закрывания;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_3.OriginalState.InProcessClose.Вход;
2227094;Автоматический режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Автоматический режим;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_3.SetAuto
2227095;Ручной режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Ручной режим;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_3.SetManual
2227096;Статус режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Статус режим;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_3.OriginalState.Auto;
2227097;Сброс;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Сброс;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_3.ResetErrors
2227098;Открыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Открыть;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_3.OpenManual
2227099;Закрыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Закрыть;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_3.CloseManual
2227100;Подтверждение уставки;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Подтверждение уставки;MasterSCADA.Attribute;;
2227101;Местный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Местный режим;MasterSCADA.Attribute;;
2227102;Дистанционный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Дистанционный режим;MasterSCADA.Attribute;;
2227103;Регулируемая_НеРегулируемая;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Регулируемая_НеРегулируемая;MasterSCADA.Attribute;;
2227104;Ключ управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Ключ управления;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_3.key;
2263637;Время ожидания ОС;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Время ожидания ОС;MasterSCADA.Attribute;;
2263972;Вход;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Блокировка.Вход;MasterSCADA.Attribute;;
2263976;Выход;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Блокировка.Выход;MasterSCADA.Attribute;;
2265204;Вход;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Включить защиту.Вход;MasterSCADA.Attribute;;
2265208;Выход;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_3.Включить защиту.Выход;MasterSCADA.Attribute;;
2227117;Название механизма;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Название механизма;MasterSCADA.Attribute;;
2227118;Текущий режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Текущий режим;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_4.AlarmCode.Вход;
2227119;Текущее положение;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Текущее положение;MasterSCADA.Attribute;;
2227120;Уставка;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Уставка;MasterSCADA.Attribute;;
2227121;Подпись при наведении;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Подпись при наведении;MasterSCADA.Attribute;;
2227122;Слово состояния;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Слово состояния;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_4.Background.Вход;
2227123;Слово положения;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Слово положения;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_4.Center.Вход;
2227124;Блокировка управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Блокировка управления;MasterSCADA.Attribute;;
2227125;В процессе открывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.В процессе открывания;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_4.OriginalState.InProcessOpen.Вход;
2227126;В процессе закрывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.В процессе закрывания;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_4.OriginalState.InProcessClose.Вход;
2227127;Автоматический режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Автоматический режим;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_4.SetAuto
2227128;Ручной режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Ручной режим;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_4.SetManual
2227129;Статус режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Статус режим;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_4.OriginalState.Auto;
2227130;Сброс;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Сброс;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_4.ResetErrors
2227131;Открыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Открыть;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_4.OpenManual
2227132;Закрыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Закрыть;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_4.CloseManual
2227133;Подтверждение уставки;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Подтверждение уставки;MasterSCADA.Attribute;;
2227134;Местный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Местный режим;MasterSCADA.Attribute;;
2227135;Дистанционный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Дистанционный режим;MasterSCADA.Attribute;;
2227136;Регулируемая_НеРегулируемая;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Регулируемая_НеРегулируемая;MasterSCADA.Attribute;;
2227137;Ключ управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Ключ управления;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_4.key;
2263718;Время ожидания ОС;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Время ожидания ОС;MasterSCADA.Attribute;;
2264863;Вход;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Блокировка.Вход;MasterSCADA.Attribute;;
2264867;Выход;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Блокировка.Выход;MasterSCADA.Attribute;;
2266095;Вход;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Включить защиту.Вход;MasterSCADA.Attribute;;
2266099;Выход;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Включить защиту.Выход;MasterSCADA.Attribute;;
2227150;Название механизма;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Название механизма;MasterSCADA.Attribute;;
2227151;Текущий режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Текущий режим;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_5.AlarmCode.Вход;
2227152;Текущее положение;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Текущее положение;MasterSCADA.Attribute;;
2227153;Уставка;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Уставка;MasterSCADA.Attribute;;
2227154;Подпись при наведении;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Подпись при наведении;MasterSCADA.Attribute;;
2227155;Слово состояния;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Слово состояния;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_5.Background.Вход;
2227156;Слово положения;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Слово положения;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_5.Center.Вход;
2227157;Блокировка управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Блокировка управления;MasterSCADA.Attribute;;
2227158;В процессе открывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.В процессе открывания;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_5.OriginalState.InProcessOpen.Вход;
2227159;В процессе закрывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.В процессе закрывания;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_5.OriginalState.InProcessClose.Вход;
2227160;Автоматический режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Автоматический режим;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_5.SetAuto
2227161;Ручной режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Ручной режим;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_5.SetManual
2227162;Статус режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Статус режим;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_5.OriginalState.Auto;
2227163;Сброс;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Сброс;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_5.ResetErrors
2227164;Открыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Открыть;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_5.OpenManual
2227165;Закрыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Закрыть;MasterSCADA.Attribute;;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.CTRL.scadaControl.Node2.Gate_ZP_2_5.CloseManual
2227166;Подтверждение уставки;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Подтверждение уставки;MasterSCADA.Attribute;;
2227167;Местный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Местный режим;MasterSCADA.Attribute;;
2227168;Дистанционный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Дистанционный режим;MasterSCADA.Attribute;;
2227169;Регулируемая_НеРегулируемая;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Регулируемая_НеРегулируемая;MasterSCADA.Attribute;;
2227170;Ключ управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Ключ управления;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_5.key;
2263719;Время ожидания ОС;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Время ожидания ОС;MasterSCADA.Attribute;;
2264874;Вход;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Блокировка.Вход;MasterSCADA.Attribute;;
2264878;Выход;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Блокировка.Выход;MasterSCADA.Attribute;;
2266106;Вход;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Включить защиту.Вход;MasterSCADA.Attribute;;
2266110;Выход;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Включить защиту.Выход;MasterSCADA.Attribute;;
2227183;Название механизма;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_6.Название механизма;MasterSCADA.Attribute;;
2227184;Текущий режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_6.Текущий режим;MasterSCADA.Attribute;Система.АРМ 1.Протоколы.OPC UA.IEC_DATA.Application.STATES.node2.Gate_ZP_2_6.AlarmCode.Вход;
